,CountryName,ISO3,Pred_Consumption_2017_mg,Tot_PCU_2017
1,Afghanistan,AFG,82413470770,1901396968
2,Albania,ALB,12653690783,234001050.9
3,Algeria,DZA,90877654485,1985059283
4,American Samoa,WSM,2569624684,30805416.41
5,Andorra,AND,0,0
6,Angola,AGO,1.11108E+11,1973809161
7,Anguilla,AIA,0,0
8,Antigua and Barbuda,ATG,188897518.7,3216399.837
9,Argentina,ARG,1.40235E+12,28894545839
10,Armenia,ARM,16309563027,315184901
11,Aruba,ABW,0,0
12,Australia,AUS,3.0505E+11,18769170917
13,Austria,AUT,44692000000,2613176925
14,Azerbaijan,AZE,41465223710,901699746.4
15,Bahamas,BHS,1301642050,24721655.2
16,Bahrain,BHR,1030320626,20814924.87
17,Bangladesh,BGD,1.57594E+11,3867208339
18,Barbados,BRB,3265856684,57122830.1
19,Belarus,BLR,2.44184E+11,3604088697
20,Belgium,BEL,2.20992E+11,5020187767
21,Belize,BLZ,4491967008,87790836.75
22,Benin,BEN,30636305703,720312112.2
23,Bermuda,BMU,9452182.323,214313.3253
24,Bhutan,BTN,3524006357,74558930.9
25,Bolivia (Plurinational State of),BOL,2.80469E+11,5947421775
26,Bosnia and Herzegovina,BIH,28571600249,510439421.9
27,Botswana,BWA,37062967703,830382876.8
28,Brazil,BRA,7.32526E+12,1.43151E+11
29,British Virgin Islands,VGB,39865796.94,903894.0656
30,Brunei Darussalam,BRN,6112507275,121031055.1
31,Bulgaria,BGR,49578000000,567774879.8
32,Burkina Faso,BFA,76862441980,1814732994
33,Burundi,BDI,13887534876,346505211.6
34,Côte d'Ivoire,CIV,26507163765,740161019.5
35,Cabo Verde,CPV,2328902004,30233117.37
36,Cambodia,KHM,62867158572,1056248630
37,Cameroon,CMR,78602940407,1778680049
38,Canada,CAN,9.48616E+11,15527476985
39,Cayman Islands,NA,0,0
40,Central African Republic,CAF,64087266353,1493059154
41,Chad,TCD,84340318434,1920425328
42,Chile,CHL,6.31299E+11,4761370300
43,"China, Hong Kong SAR",HKG,3417398102,68976583.68
44,"China, Macao SAR",MAC,0,0
45,"China, mainland",CHN,4.1967E+13,2.09699E+11
46,"China, Taiwan Province of",TWN,2407630456,58136765.44
47,Colombia,COL,8.27578E+11,15933058617
48,Comoros,COM,567941432.2,14404684.45
49,Congo,COG,6757871948,136876185.1
50,Cook Islands,COK,1141452.836,25880.64265
51,Costa Rica,CRI,62128974778,1109976803
52,Croatia,HRV,21137000000,559854600.4
53,Cuba,CUB,50354316843,1141704711
54,Cyprus,CYP,45433000000,33247443.68
55,Czechia,CZE,44227000000,1593800776
